         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.002    0.002    3.705    3.705 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:1368(get_all_trains_cut_to_time_window_and_area)
 24831054    3.641    0.000    3.641    0.000 {method 'get' of 'dict' objects}
    10729    0.022    0.000    3.630    0.000 {method 'readline' of '_io.BufferedReader' objects}
     3514    0.010    0.000    3.608    0.001 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\socket.py:690(readinto)
     3514    3.592    0.001    3.592    0.001 {method 'recv_into' of '_socket.socket' objects}
      996    0.016    0.000    3.479    0.003 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:267(_read_status)
       11    0.246    0.022    3.344    0.304 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1333(copy_graph_with_flow)
       61    0.001    0.000    3.299    0.054 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\graph.py:943(add_weighted_edges_from)
       61    2.668    0.044    3.299    0.054 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\networkx\classes\digraph.py:640(add_edges_from)
        1    0.300    0.300    3.171    3.171 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:438(add_transfer_edges_to_graph)
  2025462    0.636    0.000    3.006    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\copy.py:263(<genexpr>)
       20    0.232    0.012    2.840    0.142 C:\Users\benoi\Documents\master_thesis_code\helpers.py:210(__init__)
   568642    2.550    0.000    2.550    0.000 {method 'copy' of 'list' objects}
        9    0.250    0.028    2.375    0.264 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:702(copy_graph_and_remove_flow)
        1    0.002    0.002    2.276    2.276 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:245(get_trains_driving_any_node)
        1    0.000    0.000    2.274    2.274 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:140(get_trains_driving_any_node)
      232    0.010    0.000    2.223    0.010 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:2076(check_arrival_feasibility)
   199586    0.241    0.000    2.216    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_strptime.py:26(_getlang)
   408095    0.668    0.000    2.091    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:323(__setitem__)
       15    0.000    0.000    2.065    0.138 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:460(calculate_run_times)
