         220134140 function calls (207474231 primitive calls) in 485.391 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      996    0.002    0.000    0.064    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\communication\response_processing.py:19(extract_json_if_possible)
      996    0.003    0.000    0.063    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:556(prepare_cookies)
        3    0.001    0.000    0.063    0.021 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:489(remove_edges_of_part_delayed_train_from_o_stations_d)
      996    0.016    0.000    0.061    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:894(urlencode)
     6972    0.023    0.000    0.060    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:848(update)
      996    0.004    0.000    0.060    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:135(get_cookie_header)
      996    0.003    0.000    0.058    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\communication\response_processing.py:24(extract_json_or_none)
       10    0.012    0.001    0.057    0.006 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:823(deviation_timetable)
    10956    0.030    0.000    0.056    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:434(urlsplit)
     3984    0.013    0.000    0.054    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:564(get_content_type)
     1992    0.054    0.000    0.054    0.000 {built-in method winreg.OpenKey}
      996    0.012    0.000    0.052    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:596(__init__)
      996    0.004    0.000    0.052    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\connectionpool.py:242(_get_conn)
   201578    0.052    0.000    0.052    0.000 {method '__exit__' of '_thread.lock' objects}
     1992    0.009    0.000    0.051    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:767(select_proxy)
     6972    0.017    0.000    0.051    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:284(to_key_val_list)
      996    0.005    0.000    0.051    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:873(json)
     1992    0.009    0.000    0.050    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:508(cookiejar_from_dict)
    11502    0.050    0.000    0.050    0.000 {built-in method builtins.sorted}
      996    0.003    0.000    0.048    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\poolmanager.py:219(connection_from_host)
     2526    0.048    0.000    0.048    0.000 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:480(<listcomp>)
      996    0.004    0.000    0.048    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\connection.py:190(putrequest)
      996    0.021    0.000    0.048    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:471(_parse_headers)
      996    0.006    0.000    0.048    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:237(__init__)
      996    0.012    0.000    0.047    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:441(prepare_headers)
     1992    0.012    0.000    0.046    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:274(_normalize_host)
45147/45056    0.032    0.000    0.046    0.000 {built-in method builtins.__import__}
        6    0.002    0.000    0.045    0.008 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:629(update_train_times_feasible_path_delay_operator)
       25    0.045    0.002    0.045    0.002 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:458(<listcomp>)
   234114    0.044    0.000    0.044    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_algorithm_classes.py:57(train_path_nodes)
     8964    0.018    0.000    0.043    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:462(get)
   151697    0.043    0.000    0.043    0.000 {built-in method __new__ of type object at 0x00007FFCF1ED3C60}
      996    0.004    0.000    0.043    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\json\__init__.py:299(loads)
      996    0.005    0.000    0.043    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\poolmanager.py:242(connection_from_context)
       26    0.043    0.002    0.043    0.002 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:473(<listcomp>)
   220827    0.042    0.000    0.042    0.000 {method '__contains__' of 'dict' objects}
      996    0.020    0.000    0.042    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1055(putrequest)
     9960    0.014    0.000    0.042    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:675(get)
      996    0.035    0.000    0.041    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\socket.py:302(makefile)
     2988    0.041    0.000    0.041    0.000 {built-in method winreg.QueryValueEx}
       51    0.004    0.000    0.041    0.001 C:\Users\benoi\Documents\master_thesis_code\helpers.py:1127(build_dict_from_viriato_object_train_id)
     6972    0.010    0.000    0.040    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:855(quote_plus)
      996    0.004    0.000    0.039    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\adapters.py:329(request_url)
   228046    0.039    0.000    0.039    0.000 {method 'upper' of 'str' objects}
      996    0.005    0.000    0.038    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\request.py:2650(getproxies_registry)
      996    0.005    0.000    0.038    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\json\decoder.py:332(decode)
     1992    0.004    0.000    0.038    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\contextlib.py:121(__exit__)
   172105    0.037    0.000    0.038    0.000 {built-in method builtins.hasattr}
     2988    0.004    0.000    0.038    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:588(get_content_maintype)
   201576    0.038    0.000    0.038    0.000 {method 'end' of 're.Match' objects}
    15978    0.038    0.000    0.038    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:39(<dictcomp>)
     5072    0.020    0.000    0.038    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:1211(putheader)
     1992    0.009    0.000    0.037    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1677(extract_cookies)
     7968    0.010    0.000    0.037    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:801(quote)
   271954    0.036    0.000    0.036    0.000 {method 'decode' of 'bytes' objects}
     4166    0.003    0.000    0.036    0.000 {built-in method builtins.next}
     7791    0.016    0.000    0.036    0.000 C:\Users\benoi\Documents\master_thesis_code\helpers.py:1132(<genexpr>)
       11    0.036    0.003    0.036    0.003 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1340(<dictcomp>)
      996    0.004    0.000    0.035    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:184(close)
     7968    0.014    0.000    0.034    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:156(hostname)
     1992    0.012    0.000    0.034    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\ntpath.py:289(expanduser)
       10    0.000    0.000    0.032    0.003 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\csgraph\_validation.py:9(validate_graph)
    20/10    0.000    0.000    0.032    0.003 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\compressed.py:27(__init__)
     1992    0.003    0.000    0.032    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:423(_error_catcher)
      996    0.008    0.000    0.032    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\_collections.py:140(__init__)
       10    0.000    0.000    0.031    0.003 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\base.py:294(asformat)
       10    0.001    0.000    0.031    0.003 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\scipy\sparse\lil.py:449(tocsr)
      996    0.015    0.000    0.031    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:193(__init__)
   199584    0.031    0.000    0.031    0.000 {method 'weekday' of 'datetime.date' objects}
    25896    0.011    0.000    0.030    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\abc.py:96(__instancecheck__)
    24900    0.026    0.000    0.030    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:111(_coerce_args)
     2988    0.010    0.000    0.030    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1258(__init__)
   277985    0.029    0.000    0.029    0.000 {built-in method builtins.ord}
      996    0.029    0.000    0.029    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\json\decoder.py:343(raw_decode)
      996    0.002    0.000    0.029    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:273(release_conn)
      996    0.002    0.000    0.029    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\connection.py:7(is_connection_dropped)
   178325    0.027    0.000    0.027    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:62(arrival_time)
     9960    0.006    0.000    0.027    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:311(header_fetch_parse)
      996    0.010    0.000    0.027    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:414(close)
      996    0.003    0.000    0.026    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\connectionpool.py:281(_put_conn)
      996    0.002    0.000    0.026    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\wait.py:142(wait_for_read)
       14    0.026    0.002    0.026    0.002 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:497(<listcomp>)
      996    0.021    0.000    0.025    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\poolmanager.py:74(_default_key_normalizer)
     7968    0.014    0.000    0.025    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:872(quote_from_bytes)
   178970    0.025    0.000    0.025    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:66(departure_time)
     1992    0.011    0.000    0.024    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1596(make_cookies)
   147141    0.024    0.000    0.024    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:50(node_id)
      996    0.004    0.000    0.024    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\wait.py:71(select_wait_for_socket)
      996    0.002    0.000    0.023    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:534(prepare_auth)
      996    0.008    0.000    0.023    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:101(push)
      996    0.012    0.000    0.023    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:139(__init__)
      996    0.010    0.000    0.023    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\queue.py:122(put)
      996    0.008    0.000    0.023    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1353(add_cookie_header)
     5072    0.007    0.000    0.023    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:682(__contains__)
        6    0.020    0.003    0.023    0.004 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1148(<listcomp>)
   170764    0.023    0.000    0.023    0.000 {method 'lstrip' of 'str' objects}
     1992    0.003    0.000    0.022    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:297(<listcomp>)
      996    0.008    0.000    0.022    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\_collections.py:230(extend)
        9    0.022    0.002    0.022    0.002 C:\Users\benoi\Documents\master_thesis_code\alns_platform.py:716(<dictcomp>)
     9960    0.010    0.000    0.021    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:281(_sanitize_header)
     1992    0.005    0.000    0.021    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:486(urlunparse)
      996    0.001    0.000    0.021    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:668(<listcomp>)
      996    0.005    0.000    0.021    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:906(get_auth_from_url)
        4    0.017    0.004    0.021    0.005 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:557(<dictcomp>)
       11    0.020    0.002    0.020    0.002 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:514(<listcomp>)
       20    0.020    0.001    0.020    0.001 {scipy.sparse._csparsetools.lil_flatten_to_array}
       12    0.020    0.002    0.020    0.002 {built-in method io.open}
      996    0.004    0.000    0.020    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:143(resolve_redirects)
      996    0.020    0.000    0.020    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\wait.py:42(_retry_on_intr)
     1992    0.006    0.000    0.019    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:302(_idna_encode)
     4980    0.006    0.000    0.019    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1223(deepvalues)
    25896    0.019    0.000    0.019    0.000 {built-in method _abc._abc_instancecheck}
      996    0.008    0.000    0.019    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\queue.py:154(get)
     3984    0.012    0.000    0.019    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\_policybase.py:293(header_source_parse)
     6972    0.007    0.000    0.018    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:128(__next__)
       90    0.000    0.000    0.018    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\algorithm_platform_json_to_aidm_converter.py:27(convert_json_to_algorithm_node)
       10    0.018    0.002    0.018    0.002 C:\Users\benoi\Documents\master_thesis_code\convert.py:584(<dictcomp>)
      996    0.006    0.000    0.018    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\response.py:38(assert_header_parsing)
      996    0.002    0.000    0.017    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:80(copy)
       69    0.002    0.000    0.017    0.000 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:779(check_train_section_runtime_feasibility_delay_operator)
    18112    0.013    0.000    0.017    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:51(__getitem__)
     7968    0.011    0.000    0.017    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:198(_hostinfo)
     2761    0.006    0.000    0.016    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:702(_handle_chunk)
        3    0.000    0.000    0.016    0.005 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:538(remove_nodes_edges_of_part_of_train)
    69384    0.016    0.000    0.016    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:78(stop_status)
    46740    0.016    0.000    0.016    0.000 {method 'encode' of 'str' objects}
    16120    0.013    0.000    0.016    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:46(__setitem__)
       91    0.015    0.000    0.015    0.000 {built-in method builtins.print}
      996    0.004    0.000    0.015    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:475(get_encoding_from_headers)
      996    0.005    0.000    0.015    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:452(prepare_body)
        4    0.013    0.003    0.015    0.004 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:451(<listcomp>)
        3    0.012    0.004    0.015    0.005 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:492(<listcomp>)
        3    0.012    0.004    0.015    0.005 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:540(<dictcomp>)
     1992    0.008    0.000    0.014    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:244(_remove_path_dot_segments)
   101756    0.014    0.000    0.014    0.000 {method 'replace' of 'str' objects}
     1992    0.004    0.000    0.014    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:529(merge_cookies)
      996    0.002    0.000    0.014    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:451(items)
        1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:1002(_find_and_load)
     7968    0.011    0.000    0.014    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\_collections.py:155(__getitem__)
     4980    0.008    0.000    0.014    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1219(vals_sorted_by_key)
        1    0.000    0.000    0.014    0.014 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
     1992    0.002    0.000    0.013    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:521(<listcomp>)
      996    0.002    0.000    0.013    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:589(requote_uri)
       30    0.013    0.000    0.013    0.000 {built-in method builtins.round}
    14104    0.008    0.000    0.013    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\conversion\converter_helpers.py:43(parse_to_datetime)
      996    0.004    0.000    0.013    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\poolmanager.py:255(connection_from_pool_key)
    10052    0.013    0.000    0.013    0.000 {method 'search' of 're.Pattern' objects}
     2988    0.003    0.000    0.013    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:73(<listcomp>)
     2988    0.013    0.000    0.013    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\threading.py:82(RLock)
     1992    0.008    0.000    0.012    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:91(__new__)
      996    0.002    0.000    0.012    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:702(<lambda>)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap>:659(_load_unlocked)
        1    0.000    0.000    0.012    0.012 <frozen importlib._bootstrap_external>:784(exec_module)
     8834    0.012    0.000    0.012    0.000 {built-in method time.time}
      996    0.004    0.000    0.012    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:459(<listcomp>)
     1992    0.008    0.000    0.012    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
    15929    0.012    0.000    0.012    0.000 {method 'split' of 'str' objects}
     3984    0.008    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:497(get_all)
     3984    0.008    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:29(_splitparam)
     6972    0.010    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:78(readline)
    19212    0.009    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\types.py:171(__get__)
    19920    0.011    0.000    0.011    0.000 {method 'startswith' of 'str' objects}
     1992    0.004    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\contextlib.py:242(helper)
    10956    0.007    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\utils.py:51(_has_surrogates)
       16    0.011    0.001    0.011    0.001 {method 'uniform' of 'numpy.random.mtrand.RandomState' objects}
      996    0.001    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:409(_close_conn)
     1992    0.007    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:497(urlunsplit)
     1992    0.003    0.000    0.011    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\connectionpool.py:319(_get_timeout)
     3984    0.004    0.000    0.011    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:927(check_header_validity)
     6740    0.008    0.000    0.011    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:20(__init__)
        1    0.000    0.000    0.011    0.011 <frozen importlib._bootstrap_external>:856(get_code)
     5522    0.005    0.000    0.011    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\client.py:605(_safe_read)
     6445    0.006    0.000    0.010    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\enum.py:289(__call__)
        1    0.000    0.000    0.010    0.010 <frozen importlib._bootstrap_external>:976(get_data)
     1992    0.007    0.000    0.010    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:303(<listcomp>)
    62192    0.010    0.000    0.010    0.000 {method 'values' of 'dict' objects}
    52604    0.010    0.000    0.010    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\aidm\aidm_train_path_node_classes.py:70(minimum_run_time)
        1    0.010    0.010    0.010    0.010 {built-in method io.open_code}
    11952    0.005    0.000    0.010    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\url.py:411(ensure_type)
      996    0.003    0.000    0.010    0.000 {method 'close' of '_io.BufferedReader' objects}
        1    0.008    0.008    0.010    0.010 C:\Users\benoi\Documents\master_thesis_code\helpers.py:1107(transform_edges_into_dict_key_target)
      996    0.002    0.000    0.010    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:576(prepare_hooks)
     7968    0.007    0.000    0.010    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\_collections_abc.py:694(items)
     3984    0.006    0.000    0.009    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\_collections.py:214(add)
    11499    0.006    0.000    0.009    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\packages\six.py:959(ensure_text)
      996    0.001    0.000    0.009    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\urllib\parse.py:333(geturl)
     2988    0.007    0.000    0.009    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\timeout.py:95(__init__)
      996    0.004    0.000    0.009    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\message.py:213(get_payload)
    25084    0.009    0.000    0.009    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:58(<genexpr>)
        1    0.000    0.000    0.009    0.009 C:\Users\benoi\Documents\master_thesis_code\viriato_interface.py:265(cancel_train_after)
        1    0.000    0.000    0.009    0.009 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\py_client\algorithm_interface\algorithm_interface.py:199(cancel_train_after)
     1992    0.003    0.000    0.009    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\cookies.py:348(update)
     1992    0.008    0.000    0.008    0.000 {method 'readlines' of '_io._IOBase' objects}
      680    0.003    0.000    0.008    0.000 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1068(add_tpn_to_track_sequences)
      262    0.001    0.000    0.008    0.000 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1082(check_departure_feasibility_tpn_opposite_track_direction)
      996    0.006    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\utils.py:450(_parse_content_type_header)
      996    0.005    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:226(__init__)
      996    0.003    0.000    0.008    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\http\cookiejar.py:1731(clear_expired_cookies)
     1992    0.004    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\util\timeout.py:174(clone)
      996    0.008    0.000    0.008    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\email\feedparser.py:53(__init__)
     1992    0.007    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:835(text)
      256    0.001    0.000    0.008    0.000 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1215(check_tpn_arrival_feasibility_opposite_direction)
     4980    0.006    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\structures.py:57(__iter__)
      996    0.003    0.000    0.008    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\models.py:175(register_hook)
     1992    0.006    0.000    0.007    0.000 C:\Users\benoi\AppData\Local\Programs\Python\Python39\lib\contextlib.py:86(__init__)
      996    0.003    0.000    0.007    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\_collections.py:53(__getitem__)
       90    0.002    0.000    0.007    0.000 C:\Users\benoi\Documents\master_thesis_code\neighbourhood_operators.py:1137(check_arrival_feasibility_tpn_delay_operator)
      996    0.003    0.000    0.007    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\urllib3\response.py:315(_init_length)
        1    0.006    0.006    0.007    0.007 C:\Users\benoi\Documents\master_thesis_code\helpers.py:1117(transform_edges_into_dict_key_source)
      996    0.002    0.000    0.007    0.000 C:\Users\benoi\Documents\masterThesis\master_thesis_code\lib\site-packages\requests\sessions.py:97(get_redirect_target)
        1    0.006    0.006    0.007    0.007 C:\Users\benoi\Documents\master_thesis_code\timetable_graph.py:1820(get_all_departing_and_arriving_nodes_at_stations)
