# zone, xcoord, ycoord
2027,557804.486630044,181715.573066049
2029,565730.972922543,184578.564465664
2031,557933.995673011,189394.503124255
2032,556289.665284908,185234.225138872
2033,559236.952474706,188427.254673349
2034,552099.446894839,182950.880091594
2035,553780.916055133,181679.477112778
2036,562961.437695782,195323.008486786
2037,554514.169555921,176258.114738142
2038,551382.466837501,175767.881928863
2039,559758.788246017,189688.64298905
2040,566854.572630982,187857.698329725
2041,565200.074075545,193547.629646333
2042,553931.141950762,185008.490150517
2043,556945.070233651,187736.895127952
2044,555424.938369546,177525.145122592
2045,563007.014699757,192758.864257817
2046,556766.912683218,183947.286778348
2047,556277.863733243,176798.077823576
2049,548832.941424605,176154.911533371
2061,551441.506956385,159364.889910772
2062,562729.148361761,171676.583835747
2063,557774.75109409,170604.991929198
2064,555413.145873455,165032.764019238
2066,553948.783648142,159795.504453307
2067,566044.617529743,169469.796786277
2068,561764.435297527,178118.268931753
2069,558364.003296171,166281.220608239
2070,565400.337670281,175213.872661455
2071,559498.288283569,163477.994932575
2072,551618.826761644,162872.363238747
2074,554694.216008873,166090.306102891
2075,563761.538283411,168435.204689504
2077,553029.50651906,159753.378927376
2079,564547.81534219,169043.400300535
2081,561535.67454087,163970.346457314
2082,558656.525253218,164773.813862794
2083,561780.891614587,174092.348898159
2085,561123.875245031,165299.535495179
2086,564631.610231509,171815.586118426
2087,560868.273411457,169877.658063065
2088,562567.564699472,180446.539737473
2089,552100.979567662,165755.0160537
2091,555777.943227009,162673.44124317
2092,562944.499290063,170427.228114225
2093,566046.1459268,173795.94442363
2094,556799.617982172,165045.441333604
2095,552763.641488222,161297.839662483
2096,560192.547919264,172235.523453521
2097,553382.064429976,162951.214182873
