168,191,1079,168,191,1079,1,1,1
168,191,1080,168,191,1080,1,1,1
168,264,1081,168,264,1081,1,1,1
168,264,1082,168,264,1082,1,1,1
191,587,1077,191,587,1077,1,1,1
191,587,1078,191,587,1078,1,1,1
191,283,1089,191,283,1089,1,1,1
264,199,1094,264,199,1094,1,1,1
264,199,1095,264,199,1095,1,1,1
264,207,1096,264,207,1096,1,1,1
264,207,1097,264,207,1097,1,1,1
264,207,1098,264,207,1098,1,1,1
587,363,1075,587,363,1075,1,1,1
587,363,1076,587,363,1076,1,1,1
283,284,1088,283,284,1088,1,1,1
199,336,1023,199,336,1023,1,1,1
199,336,1024,199,336,1024,1,1,1
199,538,1092,199,538,1092,1,1,1
199,538,1093,199,538,1093,1,1,1
207,267,1043,207,267,1043,1,1,1
207,274,1099,207,274,1099,1,1,1
207,274,1100,207,274,1100,1,1,1
363,611,1071,363,611,1071,1,1,1
363,611,1072,363,611,1072,1,1,1
363,611,1073,363,611,1073,1,1,1
363,611,1074,363,611,1074,1,1,1
363,360,1083,363,360,1083,1,1,1
363,360,1084,363,360,1084,1,1,1
284,403,1087,284,403,1087,1,1,1
336,462,1019,336,462,1019,1,1,1
336,462,1020,336,462,1020,1,1,1
336,186,1021,336,186,1021,1,1,1
336,186,1022,336,186,1022,1,1,1
538,611,1090,538,611,1090,1,1,1
538,611,1091,538,611,1091,1,1,1
538,186,1025,538,186,1025,1,1,1
538,186,1026,538,186,1026,1,1,1
267,227,1044,267,227,1044,1,1,1
274,472,1101,274,472,1101,1,1,1
274,472,1102,274,472,1102,1,1,1
611,618,722,611,618,722,1,1,1
611,663,1057,611,663,1057,1,1,1
611,663,1058,611,663,1058,1,1,1
611,263,1069,611,263,1069,1,1,1
611,263,1070,611,263,1070,1,1,1
611,240,891,611,240,891,1,1,1
611,240,892,611,240,892,1,1,1
360,403,1085,360,403,1085,1,1,1
360,403,1086,360,403,1086,1,1,1
462,623,1017,462,623,1017,1,1,1
462,623,1018,462,623,1018,1,1,1
186,203,1027,186,203,1027,1,1,1
186,203,1028,186,203,1028,1,1,1
227,383,1045,227,383,1045,1,1,1
472,552,1103,472,552,1103,1,1,1
472,552,1104,472,552,1104,1,1,1
472,552,1105,472,552,1105,1,1,1
618,560,720,618,560,720,1,1,1
618,560,721,618,560,721,1,1,1
663,658,1055,663,658,1055,1,1,1
663,658,1056,663,658,1056,1,1,1
263,592,1067,263,592,1067,1,1,1
263,592,1068,263,592,1068,1,1,1
263,563,712,263,563,712,1,1,1
240,468,889,240,468,889,1,1,1
240,468,890,240,468,890,1,1,1
240,468,888,240,468,888,1,1,1
623,606,992,623,606,992,1,1,1
623,606,993,623,606,993,1,1,1
623,629,994,623,629,994,1,1,1
203,439,1029,203,439,1029,1,1,1
203,439,1030,203,439,1030,1,1,1
383,294,1046,383,294,1046,1,1,1
552,545,867,552,545,867,1,1,1
552,498,1106,552,498,1106,1,1,1
552,498,1107,552,498,1107,1,1,1
552,498,1108,552,498,1108,1,1,1
552,498,1109,552,498,1109,1,1,1
560,387,718,560,387,718,1,1,1
560,387,719,560,387,719,1,1,1
658,633,1049,658,633,1049,1,1,1
658,633,1050,658,633,1050,1,1,1
658,627,1053,658,627,1053,1,1,1
658,627,1054,658,627,1054,1,1,1
592,599,697,592,599,697,1,1,1
592,599,698,592,599,698,1,1,1
592,563,705,592,563,705,1,1,1
592,563,706,592,563,706,1,1,1
592,605,1065,592,605,1065,1,1,1
592,605,1066,592,605,1066,1,1,1
592,605,699,592,605,699,1,1,1
592,605,700,592,605,700,1,1,1
563,431,689,563,431,689,1,1,1
563,431,690,563,431,690,1,1,1
563,219,693,563,219,693,1,1,1
563,219,694,563,219,694,1,1,1
563,599,695,563,599,695,1,1,1
563,599,696,563,599,696,1,1,1
563,654,707,563,654,707,1,1,1
563,493,944,563,493,944,1,1,1
468,409,886,468,409,886,1,1,1
468,409,887,468,409,887,1,1,1
606,605,1063,606,605,1063,1,1,1
606,605,1064,606,605,1064,1,1,1
629,601,995,629,601,995,1,1,1
629,601,996,629,601,996,1,1,1
439,328,1031,439,328,1031,1,1,1
439,328,1032,439,328,1032,1,1,1
294,554,1047,294,554,1047,1,1,1
545,553,866,545,553,866,1,1,1
498,520,1110,498,520,1110,1,1,1
