((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:39:00', 853794, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:36:00', 3640040, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:42:00', 109762, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:37:00', 2432797, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:38:12', 5579488, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (633, '2005-05-10T06:34:12', 12917074, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (606, '2005-05-10T06:33:42', 5120064, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (606, '2005-05-10T06:42:36', 11101806, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (606, '2005-05-10T06:41:48', 3816944, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (606, '2005-05-10T06:37:06', 11424310, 'd'))
((633, '2005-05-10T06:28:00', 853794, 'a'), (13, '2005-05-10T06:38:00', 10852829, 'd'))
((587, '2005-05-10T06:50:00', 856342, 'a'), (587, '2005-05-10T06:52:00', 856342, 'd'))
((587, '2005-05-10T06:50:00', 856342, 'a'), (587, '2005-05-10T07:04:00', 10683205, 'd'))
((587, '2005-05-10T06:50:00', 856342, 'a'), (587, '2005-05-10T07:02:00', 12705226, 'd'))
((498, '2005-05-10T07:05:00', 859254, 'a'), (498, '2005-05-10T07:07:00', 859254, 'd'))
((498, '2005-05-10T07:05:00', 859254, 'a'), (498, '2005-05-10T07:11:00', 9645011, 'd'))
((498, '2005-05-10T07:05:00', 859254, 'a'), (498, '2005-05-10T07:12:00', 12308102, 'd'))
((498, '2005-05-10T07:05:00', 859254, 'a'), (498, '2005-05-10T07:11:06', 7629110, 'd'))
((386, '2005-05-10T07:11:48', 859982, 'a'), (386, '2005-05-10T07:21:42', 1087484, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:39:00', 864350, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:42:00', 115222, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:36:00', 3644772, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:38:00', 11798866, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:37:00', 2450997, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:38:12', 5592956, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (633, '2005-05-10T07:34:12', 12935274, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (606, '2005-05-10T07:33:42', 5134624, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (606, '2005-05-10T07:42:36', 11111270, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (606, '2005-05-10T07:41:48', 3890472, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (606, '2005-05-10T07:37:06', 11435958, 'd'))
((633, '2005-05-10T07:28:00', 864350, 'a'), (13, '2005-05-10T07:38:00', 10858289, 'd'))
((587, '2005-05-10T07:50:00', 866898, 'a'), (587, '2005-05-10T07:52:00', 866898, 'd'))
((370, '2005-05-10T06:10:30', 1040526, 'a'), (370, '2005-05-10T06:11:00', 1040526, 'd'))
((370, '2005-05-10T06:10:30', 1040526, 'a'), (370, '2005-05-10T06:15:48', 11097802, 'd'))
((370, '2005-05-10T06:10:30', 1040526, 'a'), (370, '2005-05-10T06:16:48', 12306282, 'd'))
((498, '2005-05-10T06:15:00', 1040890, 'a'), (498, '2005-05-10T06:28:18', 1078384, 'd'))
((498, '2005-05-10T06:15:00', 1040890, 'a'), (498, '2005-05-10T06:25:30', 2947858, 'd'))
((498, '2005-05-10T06:15:00', 1040890, 'a'), (498, '2005-05-10T06:22:12', 11098166, 'd'))
((498, '2005-05-10T06:15:00', 1040890, 'a'), (498, '2005-05-10T06:26:00', 10508708, 'd'))
((370, '2005-05-10T07:10:30', 1041982, 'a'), (370, '2005-05-10T07:11:00', 1041982, 'd'))
((370, '2005-05-10T07:10:30', 1041982, 'a'), (370, '2005-05-10T07:15:48', 11107266, 'd'))
((370, '2005-05-10T07:10:30', 1041982, 'a'), (370, '2005-05-10T07:16:48', 12308466, 'd'))
((498, '2005-05-10T07:15:00', 1042346, 'a'), (498, '2005-05-10T07:28:18', 1088212, 'd'))
((498, '2005-05-10T07:15:00', 1042346, 'a'), (498, '2005-05-10T07:25:30', 2958414, 'd'))
((498, '2005-05-10T07:15:00', 1042346, 'a'), (498, '2005-05-10T07:22:12', 11107630, 'd'))
((498, '2005-05-10T07:15:00', 1042346, 'a'), (498, '2005-05-10T07:26:00', 10516310, 'd'))
