type,node,,,
arrivalNode,(308, '2005-05-10T07:11:42',2956958, 'a')
arrivalNode,(498, '2005-05-10T07:23:30',2958414, 'a')
arrivalNode,(587, '2005-05-10T07:35:18',2961326, 'a')
arrivalNode,(633, '2005-05-10T07:50:00',2963874, 'a')
arrivalNode,(515, '2005-05-10T06:48:54',3644044, 'a')
arrivalNode,(515, '2005-05-10T07:48:54',3648776, 'a')
arrivalNode,(392, '2005-05-10T06:38:06',4938792, 'a')
arrivalNode,(551, '2005-05-10T06:41:18',4939156, 'a')
arrivalNode,(370, '2005-05-10T06:44:18',4939520, 'a')
arrivalNode,(498, '2005-05-10T06:48:06',4939884, 'a')
arrivalNode,(392, '2005-05-10T07:38:06',4940976, 'a')
arrivalNode,(551, '2005-05-10T07:41:18',4941340, 'a')
arrivalNode,(370, '2005-05-10T07:44:18',4941704, 'a')
arrivalNode,(498, '2005-05-10T07:48:06',4942068, 'a')
arrivalNode,(244, '2005-05-10T06:19:18',5117880, 'a')
arrivalNode,(431, '2005-05-10T06:21:18',5118244, 'a')
arrivalNode,(563, '2005-05-10T06:25:54',5118972, 'a')
arrivalNode,(592, '2005-05-10T06:27:54',5119336, 'a')
arrivalNode,(606, '2005-05-10T06:31:42',5120064, 'a')
arrivalNode,(623, '2005-05-10T06:35:54',5120428, 'a')
arrivalNode,(462, '2005-05-10T06:40:24',5120792, 'a')
arrivalNode,(199, '2005-05-10T06:43:18',5121520, 'a')
arrivalNode,(207, '2005-05-10T06:49:12',5122248, 'a')
arrivalNode,(267, '2005-05-10T06:54:12',5122612, 'a')
arrivalNode,(227, '2005-05-10T06:58:06',5122976, 'a')
arrivalNode,(383, '2005-05-10T07:03:18',5123340, 'a')
arrivalNode,(294, '2005-05-10T07:07:18',5123704, 'a')
arrivalNode,(554, '2005-05-10T07:11:18',5124068, 'a')
arrivalNode,(244, '2005-05-10T06:49:18',5125160, 'a')
arrivalNode,(431, '2005-05-10T06:51:18',5125524, 'a')
arrivalNode,(563, '2005-05-10T06:55:54',5126252, 'a')
arrivalNode,(592, '2005-05-10T06:57:54',5126616, 'a')
arrivalNode,(606, '2005-05-10T07:01:42',5127344, 'a')
arrivalNode,(623, '2005-05-10T07:05:54',5127708, 'a')
arrivalNode,(462, '2005-05-10T07:10:24',5128072, 'a')
arrivalNode,(199, '2005-05-10T07:13:18',5128800, 'a')
arrivalNode,(207, '2005-05-10T07:19:12',5129528, 'a')
arrivalNode,(267, '2005-05-10T07:24:12',5129892, 'a')
arrivalNode,(227, '2005-05-10T07:28:06',5130256, 'a')
arrivalNode,(383, '2005-05-10T07:33:18',5130620, 'a')
arrivalNode,(294, '2005-05-10T07:37:18',5130984, 'a')
arrivalNode,(554, '2005-05-10T07:41:18',5131348, 'a')
arrivalNode,(244, '2005-05-10T07:19:18',5132440, 'a')
arrivalNode,(431, '2005-05-10T07:21:18',5132804, 'a')
arrivalNode,(563, '2005-05-10T07:25:54',5133532, 'a')
arrivalNode,(592, '2005-05-10T07:27:54',5133896, 'a')
arrivalNode,(606, '2005-05-10T07:31:42',5134624, 'a')
arrivalNode,(623, '2005-05-10T07:35:54',5134988, 'a')
arrivalNode,(462, '2005-05-10T07:40:24',5135352, 'a')
arrivalNode,(199, '2005-05-10T07:43:18',5136080, 'a')
arrivalNode,(207, '2005-05-10T07:49:12',5136808, 'a')
arrivalNode,(267, '2005-05-10T07:54:12',5137172, 'a')
arrivalNode,(227, '2005-05-10T07:58:06',5137536, 'a')
arrivalNode,(383, '2005-05-10T08:03:18',5137900, 'a')
arrivalNode,(244, '2005-05-10T07:49:18',5139720, 'a')
arrivalNode,(431, '2005-05-10T07:51:18',5140084, 'a')
arrivalNode,(563, '2005-05-10T07:55:54',5140812, 'a')
arrivalNode,(592, '2005-05-10T07:57:54',5141176, 'a')
arrivalNode,(606, '2005-05-10T08:01:42',5141904, 'a')
arrivalNode,(623, '2005-05-10T06:01:00',6231412, 'a')
arrivalNode,(606, '2005-05-10T06:05:00',6231776, 'a')
arrivalNode,(592, '2005-05-10T06:09:18',6232504, 'a')
arrivalNode,(611, '2005-05-10T06:13:36',6233232, 'a')
arrivalNode,(240, '2005-05-10T06:16:36',6233596, 'a')
arrivalNode,(409, '2005-05-10T06:19:06',6234324, 'a')
arrivalNode,(356, '2005-05-10T06:23:54',6234688, 'a')
arrivalNode,(344, '2005-05-10T06:26:00',6235052, 'a')
arrivalNode,(188, '2005-05-10T06:30:54',6235416, 'a')
arrivalNode,(466, '2005-05-10T06:33:12',6235780, 'a')
arrivalNode,(437, '2005-05-10T06:36:06',6236144, 'a')
arrivalNode,(349, '2005-05-10T06:38:06',6236508, 'a')
arrivalNode,(346, '2005-05-10T06:42:12',6236872, 'a')
arrivalNode,(548, '2005-05-10T07:28:18',6640549, 'a')
arrivalNode,(351, '2005-05-10T07:31:30',6640913, 'a')
arrivalNode,(354, '2005-05-10T07:32:36',6641277, 'a')
arrivalNode,(176, '2005-05-10T07:35:36',6641641, 'a')
arrivalNode,(387, '2005-05-10T07:40:06',6642005, 'a')
arrivalNode,(560, '2005-05-10T07:44:06',6642369, 'a')
arrivalNode,(618, '2005-05-10T07:46:18',6642733, 'a')
arrivalNode,(611, '2005-05-10T07:51:06',6643097, 'a')
arrivalNode,(592, '2005-05-10T07:54:24',6643825, 'a')
arrivalNode,(606, '2005-05-10T07:58:12',6644553, 'a')
arrivalNode,(203, '2005-05-10T06:03:24',6779233, 'a')
arrivalNode,(538, '2005-05-10T06:06:00',6779961, 'a')
arrivalNode,(611, '2005-05-10T06:10:00',6780325, 'a')
arrivalNode,(663, '2005-05-10T06:13:00',6780689, 'a')
arrivalNode,(633, '2005-05-10T06:18:00',6781781, 'a')
arrivalNode,(563, '2005-05-10T06:16:48',7057329, 'a')
arrivalNode,(592, '2005-05-10T06:21:12',7057693, 'a')
arrivalNode,(606, '2005-05-10T06:26:00',7058421, 'a')
arrivalNode,(623, '2005-05-10T06:31:00',7058785, 'a')
arrivalNode,(462, '2005-05-10T06:36:06',7059149, 'a')
arrivalNode,(203, '2005-05-10T06:40:00',7060241, 'a')
