(663, '2005-05-10T07:45:00', 116314, 'a')
(611, '2005-05-10T07:48:30', 116678, 'a')
(538, '2005-05-10T07:52:00', 117042, 'a')
(203, '2005-05-10T07:54:54', 117770, 'a')
(439, '2005-05-10T07:59:00', 118134, 'a')
(328, '2005-05-10T08:00:48', 118498, 'a')
(520, '2005-05-10T06:14:00', 208408, 'a')
(498, '2005-05-10T06:19:06', 208772, 'a')
(520, '2005-05-10T07:14:00', 209864, 'a')
(498, '2005-05-10T07:19:06', 210228, 'a')
(633, '2005-05-10T07:02:00', 731487, 'a')
(192, '2005-05-10T06:37:00', 785724, 'a')
(563, '2005-05-10T06:44:00', 786816, 'a')
(611, '2005-05-10T06:51:00', 787544, 'a')
(587, '2005-05-10T06:56:00', 788272, 'a')
(192, '2005-05-10T07:37:00', 790092, 'a')
(563, '2005-05-10T07:44:00', 791184, 'a')
(611, '2005-05-10T07:51:00', 791912, 'a')
(587, '2005-05-10T07:56:00', 792640, 'a')
(633, '2005-05-10T06:28:00', 853794, 'a')
(587, '2005-05-10T06:50:00', 856342, 'a')
(498, '2005-05-10T07:05:00', 859254, 'a')
(386, '2005-05-10T07:11:48', 859982, 'a')
(633, '2005-05-10T07:28:00', 864350, 'a')
(587, '2005-05-10T07:50:00', 866898, 'a')
(370, '2005-05-10T06:10:30', 1040526, 'a')
(498, '2005-05-10T06:15:00', 1040890, 'a')
(370, '2005-05-10T07:10:30', 1041982, 'a')
(498, '2005-05-10T07:15:00', 1042346, 'a')
(308, '2005-05-10T06:15:48', 1076928, 'a')
(498, '2005-05-10T06:26:18', 1078384, 'a')
(587, '2005-05-10T06:39:48', 1081296, 'a')
(633, '2005-05-10T06:53:18', 1083116, 'a')
(308, '2005-05-10T07:15:48', 1086756, 'a')
(498, '2005-05-10T07:26:18', 1088212, 'a')
(587, '2005-05-10T07:39:48', 1091124, 'a')
(633, '2005-05-10T07:53:18', 1092944, 'a')
(587, '2005-05-10T06:09:18', 1248372, 'a')
(633, '2005-05-10T06:23:00', 1250192, 'a')
(308, '2005-05-10T06:43:48', 1253832, 'a')
(498, '2005-05-10T06:56:24', 1255288, 'a')
(587, '2005-05-10T07:09:18', 1258200, 'a')
(633, '2005-05-10T07:23:00', 1260020, 'a')
(308, '2005-05-10T07:43:48', 1263660, 'a')
(498, '2005-05-10T07:56:24', 1265116, 'a')
(520, '2005-05-10T07:47:00', 1445997, 'a')
(542, '2005-05-10T07:49:00', 1446359, 'a')
(456, '2005-05-10T07:51:30', 1446721, 'a')
(297, '2005-05-10T07:56:00', 1447083, 'a')
(401, '2005-05-10T07:59:30', 1447445, 'a')
(587, '2005-05-10T06:20:00', 1609876, 'a')
(498, '2005-05-10T06:35:00', 1612788, 'a')
(633, '2005-05-10T06:56:00', 1617884, 'a')
(587, '2005-05-10T07:20:00', 1620432, 'a')
(498, '2005-05-10T07:35:00', 1623344, 'a')
(633, '2005-05-10T07:56:00', 1628440, 'a')
(633, '2005-05-10T06:24:00', 2082738, 'a')
(633, '2005-05-10T07:24:00', 2087470, 'a')
(308, '2005-05-10T07:08:12', 2162818, 'a')
