from,to,between,from-to,to-between
85ZVB,85ZVB,85ZVB,1,1
85URD,85URD,85URD,1,1
49,49,49,1,1
85RUEM,85RUEM,85RUEM,1,1
85GLB,85GLB,85GLB,1,1
50,50,50,1,1
85DUE,85DUE,85DUE,1,1
85NAEN,85NAEN,85NAEN,1,1
51,51,51,1,1
85PFZ,85PFZ,85PFZ,1,1
85WZ,85WZ,85WZ,1,1
52,52,52,1,1
85WWUE,85WWUE,85WWUE,1,1
85WWE,85WWE,85WWE,1,1
53,53,53,1,1
85WWE,85WWE,85WWE,1,1
85WGR,85WGR,85WGR,1,1
85WKM,85WKM,85WKM,1,1
85OWT,85OWT,85OWT,1,1
54,54,54,1,1
85BUD,85BUD,85BUD,1,1
85ZAF,85ZAF,85ZAF,1,1
55,55,55,1,1
85ZVBO,85ZVBO,85ZVBO,1,1
85ZVBHF2,85ZVBHF2,85ZVBHF2,1,1
85ZSTW2,85ZSTW2,85ZSTW2,1,1
85ZAU,85ZAU,85ZAU,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
85ZSTW1,85ZSTW1,85ZSTW1,1,1
85ZVBHF1,85ZVBHF1,85ZVBHF1,1,1
56,56,56,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
57,57,57,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
58,58,58,1,1
85SCHL,85SCHL,85SCHL,1,1
85EINF,85EINF,85EINF,1,1
85HRD,85HRD,85HRD,1,1
85ZHDW,85ZHDW,85ZHDW,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
85ZVB,85ZVB,85ZVB,1,1
85URD,85URD,85URD,1,1
59,59,59,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
85ZVBHF2,85ZVBHF2,85ZVBHF2,1,1
85ZVBHF1,85ZVBHF1,85ZVBHF1,1,1
85ZMUS,85ZMUS,85ZMUS,1,1
60,60,60,1,1
85GLZB,85GLZB,85GLZB,1,1
85ZAS,85ZAS,85ZAS,1,1
85EINF,85EINF,85EINF,1,1
61,61,61,1,1
85SCHL,85SCHL,85SCHL,1,1
85ZAS,85ZAS,85ZAS,1,1
62,62,62,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
63,63,63,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZVBO,85ZVBO,85ZVBO,1,1
64,64,64,1,1
85ZAS,85ZAS,85ZAS,1,1
65,65,65,1,1
85OGL,85OGL,85OGL,1,1
85TALR,85TALR,85TALR,1,1
66,66,66,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
85ZVBHF2,85ZVBHF2,85ZVBHF2,1,1
85ZVBHF1,85ZVBHF1,85ZVBHF1,1,1
85ZMUS,85ZMUS,85ZMUS,1,1
67,67,67,1,1
85ZTB,85ZTB,85ZTB,1,1
85KGO,85KGO,85KGO,1,1
68,68,68,1,1
85SCWE,85SCWE,85SCWE,1,1
85UST,85UST,85UST,1,1
69,69,69,1,1
85BUD,85BUD,85BUD,1,1
85ZAF,85ZAF,85ZAF,1,1
70,70,70,1,1
85ZVBO,85ZVBO,85ZVBO,1,1
85ZVBHF2,85ZVBHF2,85ZVBHF2,1,1
85ZSTW2,85ZSTW2,85ZSTW2,1,1
85ZAU,85ZAU,85ZAU,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
85ZSTW1,85ZSTW1,85ZSTW1,1,1
85ZVBHF1,85ZVBHF1,85ZVBHF1,1,1
71,71,71,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
72,72,72,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
73,73,73,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
85ZVBHF2,85ZVBHF2,85ZVBHF2,1,1
85ZVBHF1,85ZVBHF1,85ZVBHF1,1,1
85ZMUS,85ZMUS,85ZMUS,1,1
74,74,74,1,1
85GLZB,85GLZB,85GLZB,1,1
85ZAS,85ZAS,85ZAS,1,1
85EINF,85EINF,85EINF,1,1
75,75,75,1,1
85SCHL,85SCHL,85SCHL,1,1
85ZAS,85ZAS,85ZAS,1,1
76,76,76,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZHDB,85ZHDB,85ZHDB,1,1
77,77,77,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZVBO,85ZVBO,85ZVBO,1,1
78,78,78,1,1
85ZAS,85ZAS,85ZAS,1,1
79,79,79,1,1
85OGL,85OGL,85OGL,1,1
85TALR,85TALR,85TALR,1,1
80,80,80,1,1
85SCWE,85SCWE,85SCWE,1,1
85UST,85UST,85UST,1,1
81,81,81,1,1
85AAT,85AAT,85AAT,1,1
85KN,85KN,85KN,1,1
85BUB,85BUB,85BUB,1,1
85HI,85HI,85HI,1,1
82,82,82,1,1
85PFU,85PFU,85PFU,1,1
85WTOE,85WTOE,85WTOE,1,1
83,83,83,1,1
85W,85W,85W,1,1
85RAET,85RAET,85RAET,1,1
85WSEE,85WSEE,85WSEE,1,1
84,84,84,1,1
85W,85W,85W,1,1
85LANT,85LANT,85LANT,1,1
85,85,85,1,1
85W,85W,85W,1,1
85WWAL,85WWAL,85WWAL,1,1
85WD,85WD,85WD,1,1
86,86,86,1,1
85OFR,85OFR,85OFR,1,1
85REG,85REG,85REG,1,1
87,87,87,1,1
85ZVB,85ZVB,85ZVB,1,1
85ZUE,85ZUE,85ZUE,1,1
88,88,88,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
89,89,89,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZAU,85ZAU,85ZAU,1,1
90,90,90,1,1
85ZSTW2,85ZSTW2,85ZSTW2,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZWIE,85ZWIE,85ZWIE,1,1
85ZKOL,85ZKOL,85ZKOL,1,1
91,91,91,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZVIA,85ZVIA,85ZVIA,1,1
92,92,92,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
93,93,93,1,1
85GLZB,85GLZB,85GLZB,1,1
85ZAS,85ZAS,85ZAS,1,1
85EINF,85EINF,85EINF,1,1
94,94,94,1,1
85SCHL,85SCHL,85SCHL,1,1
85ZAS,85ZAS,85ZAS,1,1
95,95,95,1,1
85ZAS,85ZAS,85ZAS,1,1
85ZVBO,85ZVBO,85ZVBO,1,1
96,96,96,1,1
85ZAS,85ZAS,85ZAS,1,1
97,97,97,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
98,98,98,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
99,99,99,1,1
85DT,85DT,85DT,1,1
85SCHL,85SCHL,85SCHL,1,1
100,100,100,1,1
85SCHL,85SCHL,85SCHL,1,1
85ZAS,85ZAS,85ZAS,1,1
101,101,101,1,1
85ZVB,85ZVB,85ZVB,1,1
85ZUE,85ZUE,85ZUE,1,1
102,102,102,1,1
85NG,85NG,85NG,1,1
85NIE,85NIE,85NIE,1,1
85RUEM,85RUEM,85RUEM,1,1
103,103,103,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
104,104,104,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
105,105,105,1,1
85ZK,85ZK,85ZK,1,1
85KUES,85KUES,85KUES,1,1
106,106,106,1,1
85NAEN,85NAEN,85NAEN,1,1
85AAT,85AAT,85AAT,1,1
107,107,107,1,1
85OFR,85OFR,85OFR,1,1
85REG,85REG,85REG,1,1
108,108,108,1,1
85ZVB,85ZVB,85ZVB,1,1
85ZUE,85ZUE,85ZUE,1,1
109,109,109,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZLST,85ZLST,85ZLST,1,1
110,110,110,1,1
85ZUE,85ZUE,85ZUE,1,1
85ZAU,85ZAU,85ZAU,1,1
111,111,111,1,1
85ZSTW2,85ZSTW2,85ZSTW2,1,1
