from,to,between,from-to,to-between
85ORD,85ORD,85ORD,1,1
85AU,85AU,85AU,1,1
243,243,243,1,1
85LOT,85LOT,85LOT,1,1
85HUEW,85HUEW,85HUEW,1,1
244,244,244,1,1
85NWD,85NWD,85NWD,1,1
245,245,245,1,1
85ML,85ML,85ML,1,1
85MAEN,85MAEN,85MAEN,1,1
246,246,246,1,1
85ORDD,85ORDD,85ORDD,1,1
85SBG,85SBG,85SBG,1,1
247,247,247,1,1
85ORD,85ORD,85ORD,1,1
85AU,85AU,85AU,1,1
248,248,248,1,1
85LOT,85LOT,85LOT,1,1
85HUEW,85HUEW,85HUEW,1,1
249,249,249,1,1
85NWD,85NWD,85NWD,1,1
250,250,250,1,1
85STG,85STG,85STG,1,1
85GIB,85GIB,85GIB,1,1
251,251,251,1,1
85STAE,85STAE,85STAE,1,1
85FB,85FB,85FB,1,1
252,252,252,1,1
85BAE,85BAE,85BAE,1,1
85PF,85PF,85PF,1,1
253,253,253,1,1
85PF,85PF,85PF,1,1
85LA,85LA,85LA,1,1
254,254,254,1,1
85PF,85PF,85PF,1,1
255,255,255,1,1
85LOT,85LOT,85LOT,1,1
85HUEW,85HUEW,85HUEW,1,1
256,256,256,1,1
85TU,85TU,85TU,1,1
85SD,85SD,85SD,1,1
257,257,257,1,1
85MTL,85MTL,85MTL,1,1
85SLF,85SLF,85SLF,1,1
258,258,258,1,1
85ORDD,85ORDD,85ORDD,1,1
85SBG,85SBG,85SBG,1,1
259,259,259,1,1
85ORD,85ORD,85ORD,1,1
85AU,85AU,85AU,1,1
260,260,260,1,1
85HGO,85HGO,85HGO,1,1
45SIW,45SIW,45SIW,1,1
261,261,261,1,1
85HG,85HG,85HG,1,1
85WAE,85WAE,85WAE,1,1
262,262,262,1,1
85JE,85JE,85JE,1,1
85RZ,85RZ,85RZ,1,1
263,263,263,1,1
85UET,85UET,85UET,1,1
85STAE,85STAE,85STAE,1,1
264,264,264,1,1
85HGO,85HGO,85HGO,1,1
45SIW,45SIW,45SIW,1,1
265,265,265,1,1
85HG,85HG,85HG,1,1
85WAE,85WAE,85WAE,1,1
266,266,266,1,1
85JE,85JE,85JE,1,1
85RZ,85RZ,85RZ,1,1
267,267,267,1,1
85BMA,85BMA,85BMA,1,1
85FI,85FI,85FI,1,1
268,268,268,1,1
85MAEN,85MAEN,85MAEN,1,1
85UER,85UER,85UER,1,1
269,269,269,1,1
85HAF,85HAF,85HAF,1,1
85FRB,85FRB,85FRB,1,1
270,270,270,1,1
85ALTD,85ALTD,85ALTD,1,1
85SIB,85SIB,85SIB,1,1
271,271,271,1,1
85JE,85JE,85JE,1,1
85RZ,85RZ,85RZ,1,1
272,272,272,1,1
85WILA,85WILA,85WILA,1,1
85BMA,85BMA,85BMA,1,1
273,273,273,1,1
85DA,85DA,85DA,1,1
85NH,85NH,85NH,1,1
274,274,274,1,1
85HGO,85HGO,85HGO,1,1
45SIW,45SIW,45SIW,1,1
275,275,275,1,1
85HG,85HG,85HG,1,1
85WAE,85WAE,85WAE,1,1
276,276,276,1,1
45LNG,45LNG,45LNG,1,1
85SBG,85SBG,85SBG,1,1
277,277,277,1,1
85AU,85AU,85AU,1,1
85RI,85RI,85RI,1,1
278,278,278,1,1
85AR,85AR,85AR,1,1
85LOT,85LOT,85LOT,1,1
279,279,279,1,1
85MAEN,85MAEN,85MAEN,1,1
85UER,85UER,85UER,1,1
280,280,280,1,1
45LNG,45LNG,45LNG,1,1
85SBG,85SBG,85SBG,1,1
281,281,281,1,1
85AU,85AU,85AU,1,1
85RI,85RI,85RI,1,1
282,282,282,1,1
85AR,85AR,85AR,1,1
85LOT,85LOT,85LOT,1,1
283,283,283,1,1
85SD,85SD,85SD,1,1
85STG,85STG,85STG,1,1
284,284,284,1,1
85RI,85RI,85RI,1,1
85BAE,85BAE,85BAE,1,1
285,285,285,1,1
85LA,85LA,85LA,1,1
85SCBU,85SCBU,85SCBU,1,1
286,286,286,1,1
85AR,85AR,85AR,1,1
85LOT,85LOT,85LOT,1,1
287,287,287,1,1
85SD,85SD,85SD,1,1
85STG,85STG,85STG,1,1
288,288,288,1,1
85SH,85SH,85SH,1,1
85SLF,85SLF,85SLF,1,1
85AR,85AR,85AR,1,1
289,289,289,1,1
45LNG,45LNG,45LNG,1,1
85SBG,85SBG,85SBG,1,1
290,290,290,1,1
85AU,85AU,85AU,1,1
85RI,85RI,85RI,1,1
291,291,291,1,1
45WP,45WP,45WP,1,1
45SIW,45SIW,45SIW,1,1
292,292,292,1,1
85WAE,85WAE,85WAE,1,1
85HAF,85HAF,85HAF,1,1
293,293,293,1,1
85NH,85NH,85NH,1,1
85JE,85JE,85JE,1,1
294,294,294,1,1
45WP,45WP,45WP,1,1
45SIW,45SIW,45SIW,1,1
295,295,295,1,1
85WAE,85WAE,85WAE,1,1
85HAF,85HAF,85HAF,1,1
296,296,296,1,1
85NH,85NH,85NH,1,1
85JE,85JE,85JE,1,1
297,297,297,1,1
85WAE,85WAE,85WAE,1,1
85HAF,85HAF,85HAF,1,1
298,298,298,1,1
85SIB,85SIB,85SIB,1,1
85RG,85RG,85RG,1,1
299,299,299,1,1
85NH,85NH,85NH,1,1
85JE,85JE,85JE,1,1
300,300,300,1,1
85NH,85NH,85NH,1,1
301,301,301,1,1
85NH,85NH,85NH,1,1
85JE,85JE,85JE,1,1
302,302,302,1,1
45WP,45WP,45WP,1,1
45SIW,45SIW,45SIW,1,1
303,303,303,1,1
85WAE,85WAE,85WAE,1,1
85HAF,85HAF,85HAF,1,1
304,304,304,1,1
45SIA,45SIA,45SIA,1,1
45LNG,45LNG,45LNG,1,1
305,305,305,1,1
45SIA,45SIA,45SIA,1,1
45LNG,45LNG,45LNG,1,1
306,306,306,1,1
85SCBU,85SCBU,85SCBU,1,1
85BIL,85BIL,85BIL,1,1
307,307,307,1,1
45SIA,45SIA,45SIA,1,1
45LNG,45LNG,45LNG,1,1
308,308,308,1,1
45ADW,45ADW,45ADW,1,1
45WP,45WP,45WP,1,1
309,309,309,1,1
45ADW,45ADW,45ADW,1,1
45WP,45WP,45WP,1,1
310,310,310,1,1
85RG,85RG,85RG,1,1
85ZB,85ZB,85ZB,1,1
311,311,311,1,1
45ADW,45ADW,45ADW,1,1
45WP,45WP,45WP,1,1
312,312,312,1,1
45SOOD,45SOOD,45SOOD,1,1
45SIA,45SIA,45SIA,1,1
313,313,313,1,1
45SOOD,45SOOD,45SOOD,1,1
45SIA,45SIA,45SIA,1,1
314,314,314,1,1
85BIL,85BIL,85BIL,1,1
85WN,85WN,85WN,1,1
315,315,315,1,1
45SOOD,45SOOD,45SOOD,1,1
45SIA,45SIA,45SIA,1,1
316,316,316,1,1
45ZLE,45ZLE,45ZLE,1,1
45ADW,45ADW,45ADW,1,1
317,317,317,1,1
45ZLE,45ZLE,45ZLE,1,1
45ADW,45ADW,45ADW,1,1
318,318,318,1,1
85ZB,85ZB,85ZB,1,1
85MH,85MH,85MH,1,1
319,319,319,1,1
45ZLE,45ZLE,45ZLE,1,1
45ADW,45ADW,45ADW,1,1
320,320,320,1,1
45ZMA,45ZMA,45ZMA,1,1
45SOOD,45SOOD,45SOOD,1,1
321,321,321,1,1
45ZMA,45ZMA,45ZMA,1,1
45SOOD,45SOOD,45SOOD,1,1
322,322,322,1,1
85WN,85WN,85WN,1,1
85TIEF,85TIEF,85TIEF,1,1
323,323,323,1,1
45ZMA,45ZMA,45ZMA,1,1
45SOOD,45SOOD,45SOOD,1,1
324,324,324,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
45ZLE,45ZLE,45ZLE,1,1
325,325,325,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
45ZLE,45ZLE,45ZLE,1,1
326,326,326,1,1
85MH,85MH,85MH,1,1
85MG,85MG,85MG,1,1
327,327,327,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
45ZLE,45ZLE,45ZLE,1,1
328,328,328,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
45ZMA,45ZMA,45ZMA,1,1
329,329,329,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
45ZMA,45ZMA,45ZMA,1,1
330,330,330,1,1
85TIEF,85TIEF,85TIEF,1,1
85UNT,85UNT,85UNT,1,1
331,331,331,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
45ZMA,45ZMA,45ZMA,1,1
332,332,332,1,1
45ZGH,45ZGH,45ZGH,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
333,333,333,1,1
45ZGH,45ZGH,45ZGH,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
334,334,334,1,1
85MG,85MG,85MG,1,1
85MOLS,85MOLS,85MOLS,1,1
335,335,335,1,1
45ZGH,45ZGH,45ZGH,1,1
45ZBRU,45ZBRU,45ZBRU,1,1
336,336,336,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
337,337,337,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
338,338,338,1,1
85UNT,85UNT,85UNT,1,1
85WAL,85WAL,85WAL,1,1
339,339,339,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
45ZSAA,45ZSAA,45ZSAA,1,1
340,340,340,1,1
45ZSZU,45ZSZU,45ZSZU,1,1
45ZGH,45ZGH,45ZGH,1,1
341,341,341,1,1
45ZSZU,45ZSZU,45ZSZU,1,1
45ZGH,45ZGH,45ZGH,1,1
342,342,342,1,1
85MOLS,85MOLS,85MOLS,1,1
85FMS,85FMS,85FMS,1,1
343,343,343,1,1
45ZSZU,45ZSZU,45ZSZU,1,1
45ZGH,45ZGH,45ZGH,1,1
344,344,344,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
345,345,345,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
346,346,346,1,1
85WAL,85WAL,85WAL,1,1
85MELS,85MELS,85MELS,1,1
347,347,347,1,1
45ZSEL,45ZSEL,45ZSEL,1,1
348,348,348,1,1
85FMS,85FMS,85FMS,1,1
85SA,85SA,85SA,1,1
349,349,349,1,1
85MELS,85MELS,85MELS,1,1
85BRAG,85BRAG,85BRAG,1,1
350,350,350,1,1
85SA,85SA,85SA,1,1
85MF,85MF,85MF,1,1
351,351,351,1,1
85BRAG,85BRAG,85BRAG,1,1
85ROR,85ROR,85ROR,1,1
352,352,352,1,1
85MF,85MF,85MF,1,1
49LQ,49LQ,49LQ,1,1
353,353,353,1,1
49LQRI,49LQRI,49LQRI,1,1
85ROR,85ROR,85ROR,1,1
49MALA,49MALA,49MALA,1,1
85ZIZS,85ZIZS,85ZIZS,1,1
354,354,354,1,1
49IGIS,49IGIS,49IGIS,1,1
49LQ,49LQ,49LQ,1,1
355,355,355,1,1
49LQ,49LQ,49LQ,1,1
49SEEV,49SEEV,49SEEV,1,1
356,356,356,1,1
49LQ,49LQ,49LQ,1,1
85TRIM,85TRIM,85TRIM,1,1
357,357,357,1,1
49ZIZ,49ZIZ,49ZIZ,1,1
49LQRI,49LQRI,49LQRI,1,1
358,358,358,1,1
49MALA,49MALA,49MALA,1,1
49GRUS,49GRUS,49GRUS,1,1
359,359,359,1,1
85ZIZS,85ZIZS,85ZIZS,1,1
49CH,49CH,49CH,1,1
360,360,360,1,1
49UVAZ,49UVAZ,49UVAZ,1,1
49IGIS,49IGIS,49IGIS,1,1
361,361,361,1,1
49SEEV,49SEEV,49SEEV,1,1
49SCRS,49SCRS,49SCRS,1,1
362,362,362,1,1
85TRIM,85TRIM,85TRIM,1,1
49HALD,49HALD,49HALD,1,1
85FORA,85FORA,85FORA,1,1
49CHSA,49CHSA,49CHSA,1,1
363,363,363,1,1
49TRIS,49TRIS,49TRIS,1,1
49ZIZ,49ZIZ,49ZIZ,1,1
364,364,364,1,1
49GRUS,49GRUS,49GRUS,1,1
49FURN,49FURN,49FURN,1,1
365,365,365,1,1
49CH,49CH,49CH,1,1
49TRIS,49TRIS,49TRIS,1,1
366,366,366,1,1
49CH,49CH,49CH,1,1
49FBG,49FBG,49FBG,1,1
367,367,367,1,1
49CH,49CH,49CH,1,1
49DEPS,49DEPS,49DEPS,1,1
368,368,368,1,1
49HALD,49HALD,49HALD,1,1
49UVAZ,49UVAZ,49UVAZ,1,1
369,369,369,1,1
49SCRS,49SCRS,49SCRS,1,1
49JAZ,49JAZ,49JAZ,1,1
370,370,370,1,1
49HALD,49HALD,49HALD,1,1
49UVAZ,49UVAZ,49UVAZ,1,1
371,371,371,1,1
85FORA,85FORA,85FORA,1,1
49DE,49DE,49DE,1,1
372,372,372,1,1
49CHSA,49CHSA,49CHSA,1,1
49SASA,49SASA,49SASA,1,1
373,373,373,1,1
49FURN,49FURN,49FURN,1,1
49FID,49FID,49FID,1,1
374,374,374,1,1
49FBG,49FBG,49FBG,1,1
49EMSW,49EMSW,49EMSW,1,1
375,375,375,1,1
49DEPS,49DEPS,49DEPS,1,1
49USAX,49USAX,49USAX,1,1
376,376,376,1,1
49JAZ,49JAZ,49JAZ,1,1
49KUEB,49KUEB,49KUEB,1,1
377,377,377,1,1
49DE,49DE,49DE,1,1
49REIT,49REIT,49REIT,1,1
378,378,378,1,1
49SASA,49SASA,49SASA,1,1
49LUCA,49LUCA,49LUCA,1,1
379,379,379,1,1
49FID,49FID,49FID,1,1
49SAAS,49SAAS,49SAAS,1,1
380,380,380,1,1
49EMSW,49EMSW,49EMSW,1,1
49TRIN,49TRIN,49TRIN,1,1
49BONA,49BONA,49BONA,1,1
381,381,381,1,1
49USAX,49USAX,49USAX,1,1
49STPM,49STPM,49STPM,1,1
382,382,382,1,1
49KUEB,49KUEB,49KUEB,1,1
49SERN,49SERN,49SERN,1,1
383,383,383,1,1
49REIT,49REIT,49REIT,1,1
49VESA,49VESA,49VESA,1,1
384,384,384,1,1
49REIT,49REIT,49REIT,1,1
49RHAE,49RHAE,49RHAE,1,1
385,385,385,1,1
49LUCA,49LUCA,49LUCA,1,1
49PEI,49PEI,49PEI,1,1
386,386,386,1,1
49SAAS,49SAAS,49SAAS,1,1
49KLOD,49KLOD,49KLOD,1,1
387,387,387,1,1
49TRIN,49TRIN,49TRIN,1,1
49VASA,49VASA,49VASA,1,1
388,388,388,1,1
49BONA,49BONA,49BONA,1,1
49ROTH,49ROTH,49ROTH,1,1
389,389,389,1,1
49STPM,49STPM,49STPM,1,1
49LAWI,49LAWI,49LAWI,1,1
390,390,390,1,1
49SERN,49SERN,49SERN,1,1
49KLO,49KLO,49KLO,1,1
391,391,391,1,1
49VESA,49VESA,49VESA,1,1
49CASR,49CASR,49CASR,1,1
392,392,392,1,1
49RHAE,49RHAE,49RHAE,1,1
49RORE,49RORE,49RORE,1,1
393,393,393,1,1
49PEI,49PEI,49PEI,1,1
49LITZ,49LITZ,49LITZ,1,1
394,394,394,1,1
49KLOD,49KLOD,49KLOD,1,1
49CDUE,49CDUE,49CDUE,1,1
49KLOS,49KLOS,49KLOS,1,1
395,395,395,1,1
49VASA,49VASA,49VASA,1,1
49ILZ,49ILZ,49ILZ,1,1
396,396,396,1,1
49ROTH,49ROTH,49ROTH,1,1
49CAZI,49CAZI,49CAZI,1,1
397,397,397,1,1
49LAWI,49LAWI,49LAWI,1,1
49HGR,49HGR,49HGR,1,1
398,398,398,1,1
49KLO,49KLO,49KLO,1,1
49DALT,49DALT,49DALT,1,1
399,399,399,1,1
49KLO,49KLO,49KLO,1,1
49VER1,49VER1,49VER1,1,1
400,400,400,1,1
49CASR,49CASR,49CASR,1,1
49RUEU,49RUEU,49RUEU,1,1
401,401,401,1,1
49RORE,49RORE,49RORE,1,1
49THS,49THS,49THS,1,1
402,402,402,1,1
49LITZ,49LITZ,49LITZ,1,1
49AROS,49AROS,49AROS,1,1
403,403,403,1,1
49CDUE,49CDUE,49CDUE,1,1
49DAW,49DAW,49DAW,1,1
404,404,404,1,1
49KLOS,49KLOS,49KLOS,1,1
49VER2,49VER2,49VER2,1,1
405,405,405,1,1
49ILZ,49ILZ,49ILZ,1,1
49WAVU,49WAVU,49WAVU,1,1
406,406,406,1,1
49CAZI,49CAZI,49CAZI,1,1
49SILS,49SILS,49SILS,1,1
407,407,407,1,1
49HGR,49HGR,49HGR,1,1
408,408,408,1,1
49DALT,49DALT,49DALT,1,1
49DAD,49DAD,49DAD,1,1
409,409,409,1,1
49VER1,49VER1,49VER1,1,1
49VER3,49VER3,49VER3,1,1
410,410,410,1,1
49RUEU,49RUEU,49RUEU,1,1
49TABR,49TABR,49TABR,1,1
411,411,411,1,1
49THS,49THS,49THS,1,1
49SOLI,49SOLI,49SOLI,1,1
412,412,412,1,1
49DAW,49DAW,49DAW,1,1
49DAV,49DAV,49DAV,1,1
413,413,413,1,1
49VER2,49VER2,49VER2,1,1
49VER4,49VER4,49VER4,1,1
414,414,414,1,1
49WAVU,49WAVU,49WAVU,1,1
49TRUN,49TRUN,49TRUN,1,1
415,415,415,1,1
49SILS,49SILS,49SILS,1,1
49TICA,49TICA,49TICA,1,1
416,416,416,1,1
49DAD,49DAD,49DAD,1,1
49DAI,49DAI,49DAI,1,1
417,417,417,1,1
49VER3,49VER3,49VER3,1,1
49SASN,49SASN,49SASN,1,1
418,418,418,1,1
49TABR,49TABR,49TABR,1,1
49RASU,49RASU,49RASU,1,1
419,419,419,1,1
49SOLI,49SOLI,49SOLI,1,1
49SURA,49SURA,49SURA,1,1
420,420,420,1,1
49DAV,49DAV,49DAV,1,1
49DAF,49DAF,49DAF,1,1
421,421,421,1,1
49VER4,49VER4,49VER4,1,1
49SAGL,49SAGL,49SAGL,1,1
49SASW,49SASW,49SASW,1,1
422,422,422,1,1
49TRUN,49TRUN,49TRUN,1,1
49SUCU,49SUCU,49SUCU,1,1
423,423,423,1,1
49TICA,49TICA,49TICA,1,1
49ALV,49ALV,49ALV,1,1
424,424,424,1,1
49DAI,49DAI,49DAI,1,1
49DAGL,49DAGL,49DAGL,1,1
425,425,425,1,1
49SASN,49SASN,49SASN,1,1
49SASW,49SASW,49SASW,1,1
49LAVI,49LAVI,49LAVI,1,1
426,426,426,1,1
49SASN,49SASN,49SASN,1,1
49SUS,49SUS,49SUS,1,1
49SAGL,49SAGL,49SAGL,1,1
427,427,427,1,1
49RASU,49RASU,49RASU,1,1
49DIS,49DIS,49DIS,1,1
428,428,428,1,1
49SURA,49SURA,49SURA,1,1
49FILI,49FILI,49FILI,1,1
429,429,429,1,1
49DAF,49DAF,49DAF,1,1
49DAM,49DAM,49DAM,1,1
430,430,430,1,1
49SASN,49SASN,49SASN,1,1
49SUS,49SUS,49SUS,1,1
49SAGL,49SAGL,49SAGL,1,1
431,431,431,1,1
49SAGL,49SAGL,49SAGL,1,1
49GUA,49GUA,49GUA,1,1
432,432,432,1,1
49ZEZ,49ZEZ,49ZEZ,1,1
49SASW,49SASW,49SASW,1,1
433,433,433,1,1
49SUCU,49SUCU,49SUCU,1,1
434,434,434,1,1
49WIES,49WIES,49WIES,1,1
49ALV,49ALV,49ALV,1,1
49STGL,49STGL,49STGL,1,1
435,435,435,1,1
49DAGL,49DAGL,49DAGL,1,1
49WIES,49WIES,49WIES,1,1
436,436,436,1,1
49ZEZ,49ZEZ,49ZEZ,1,1
49SASW,49SASW,49SASW,1,1
437,437,437,1,1
49LAVI,49LAVI,49LAVI,1,1
49ADZ,49ADZ,49ADZ,1,1
438,438,438,1,1
49CARO,49CARO,49CARO,1,1
49SUS,49SUS,49SUS,1,1
439,439,439,1,1
49DAM,49DAM,49DAM,1,1
49FILI,49FILI,49FILI,1,1
440,440,440,1,1
49FILI,49FILI,49FILI,1,1
49BEBR,49BEBR,49BEBR,1,1
441,441,441,1,1
49DAM,49DAM,49DAM,1,1
49FILI,49FILI,49FILI,1,1
442,442,442,1,1
49CARO,49CARO,49CARO,1,1
49SUS,49SUS,49SUS,1,1
443,443,443,1,1
49GUA,49GUA,49GUA,1,1
49FTAN,49FTAN,49FTAN,1,1
444,444,444,1,1
49CIN,49CIN,49CIN,1,1
49ZEZ,49ZEZ,49ZEZ,1,1
445,445,445,1,1
49STGL,49STGL,49STGL,1,1
49MUOT,49MUOT,49MUOT,1,1
446,446,446,1,1
49CIN,49CIN,49CIN,1,1
49ZEZ,49ZEZ,49ZEZ,1,1
447,447,447,1,1
49ADZ,49ADZ,49ADZ,1,1
49SCTA,49SCTA,49SCTA,1,1
448,448,448,1,1
49SCAN,49SCAN,49SCAN,1,1
49CARO,49CARO,49CARO,1,1
449,449,449,1,1
49BEBR,49BEBR,49BEBR,1,1
49PRED,49PRED,49PRED,1,1
450,450,450,1,1
49SCAN,49SCAN,49SCAN,1,1
49CARO,49CARO,49CARO,1,1
451,451,451,1,1
49FTAN,49FTAN,49FTAN,1,1
452,452,452,1,1
49ZUOZ,49ZUOZ,49ZUOZ,1,1
49CIN,49CIN,49CIN,1,1
453,453,453,1,1
49MUOT,49MUOT,49MUOT,1,1
49SPIN,49SPIN,49SPIN,1,1
454,454,454,1,1
49ZUOZ,49ZUOZ,49ZUOZ,1,1
49CIN,49CIN,49CIN,1,1
455,455,455,1,1
49MADU,49MADU,49MADU,1,1
49SCAN,49SCAN,49SCAN,1,1
456,456,456,1,1
49PRED,49PRED,49PRED,1,1
49BEV,49BEV,49BEV,1,1
457,457,457,1,1
49MADU,49MADU,49MADU,1,1
49SCAN,49SCAN,49SCAN,1,1
458,458,458,1,1
49LAPU,49LAPU,49LAPU,1,1
49ZUOZ,49ZUOZ,49ZUOZ,1,1
459,459,459,1,1
49SPIN,49SPIN,49SPIN,1,1
49SAME,49SAME,49SAME,1,1
49LAPU,49LAPU,49LAPU,1,1
460,460,460,1,1
49LAPU,49LAPU,49LAPU,1,1
49ZUOZ,49ZUOZ,49ZUOZ,1,1
461,461,461,1,1
49BEV,49BEV,49BEV,1,1
49MADU,49MADU,49MADU,1,1
462,462,462,1,1
49BEV,49BEV,49BEV,1,1
49CELE,49CELE,49CELE,1,1
49PTM,49PTM,49PTM,1,1
463,463,463,1,1
49BEV,49BEV,49BEV,1,1
49MADU,49MADU,49MADU,1,1
464,464,464,1,1
49BEV,49BEV,49BEV,1,1
49MADU,49MADU,49MADU,1,1
465,465,465,1,1
49SAME,49SAME,49SAME,1,1
49SMOR,49SMOR,49SMOR,1,1
466,466,466,1,1
49SAME,49SAME,49SAME,1,1
49PORE,49PORE,49PORE,1,1
467,467,467,1,1
49CELE,49CELE,49CELE,1,1
49CELS,49CELS,49CELS,1,1
468,468,468,1,1
49PTM,49PTM,49PTM,1,1
49PTMS,49PTMS,49PTMS,1,1
49SURO,49SURO,49SURO,1,1
469,469,469,1,1
49SMOR,49SMOR,49SMOR,1,1
49PTMS,49PTMS,49PTMS,1,1
470,470,470,1,1
49CELS,49CELS,49CELS,1,1
49PORE,49PORE,49PORE,1,1
471,471,471,1,1
49PORE,49PORE,49PORE,1,1
49MOTA,49MOTA,49MOTA,1,1
472,472,472,1,1
49CELS,49CELS,49CELS,1,1
49PORE,49PORE,49PORE,1,1
473,473,473,1,1
49SURO,49SURO,49SURO,1,1
49BESU,49BESU,49BESU,1,1
474,474,474,1,1
49MOTA,49MOTA,49MOTA,1,1
49BEDI,49BEDI,49BEDI,1,1
475,475,475,1,1
49BESU,49BESU,49BESU,1,1
49BELA,49BELA,49BELA,1,1
476,476,476,1,1
49BEDI,49BEDI,49BEDI,1,1
49OSBE,49OSBE,49OSBE,1,1
477,477,477,1,1
49BELA,49BELA,49BELA,1,1
49ALGR,49ALGR,49ALGR,1,1
478,478,478,1,1
49OSBE,49OSBE,49OSBE,1,1
49CAVA,49CAVA,49CAVA,1,1
479,479,479,1,1
49ALGR,49ALGR,49ALGR,1,1
49CADE,49CADE,49CADE,1,1
480,480,480,1,1
49CAVA,49CAVA,49CAVA,1,1
49PRI,49PRI,49PRI,1,1
481,481,481,1,1
49CADE,49CADE,49CADE,1,1
49POS,49POS,49POS,1,1
482,482,482,1,1
49PRI,49PRI,49PRI,1,1
49CURT,49CURT,49CURT,1,1
483,483,483,1,1
49POS,49POS,49POS,1,1
49PRET,49PRET,49PRET,1,1
484,484,484,1,1
49CURT,49CURT,49CURT,1,1
49PRES,49PRES,49PRES,1,1
485,485,485,1,1
49PRET,49PRET,49PRET,1,1
49MIRA,49MIRA,49MIRA,1,1
486,486,486,1,1
49PRES,49PRES,49PRES,1,1
49BRIO,49BRIO,49BRIO,1,1
487,487,487,1,1
49MIRA,49MIRA,49MIRA,1,1
49CAIO,49CAIO,49CAIO,1,1
488,488,488,1,1
49BRIO,49BRIO,49BRIO,1,1
49CAMP,49CAMP,49CAMP,1,1
489,489,489,1,1
49CAIO,49CAIO,49CAIO,1,1
49TIR,49TIR,49TIR,1,1
490,490,490,1,1
49CAMP,49CAMP,49CAMP,1,1
