# fromZone, toZone, min
219,219,5.000000
219,23001,7.800000
220,219,35.480000
220,23001,38.755000
220,23002,39.715000
221,221,5.000000
221,23001,9.652000
221,23002,19.821000
222,23001,32.121000
222,23002,22.666000
222,219,33.664000
223,224,8.500000
223,23001,14.889000
223,23004,21.486000
224,224,2.000000
224,23004,3.350000
224,56,5.431000
225,23002,6.550000
225,229,2.169000
225,23001,8.791000
226,23003,10.500000
226,23002,16.580000
226,23001,29.058000
227,227,3.010000
227,23002,7.420000
227,23001,10.102000
228,231,6.837000
228,23003,17.002000
228,23002,19.729000
229,229,2.000000
229,23002,7.537000
229,23001,8.070000
231,231,6.000000
231,23003,9.575000
231,23002,12.261000
241,26104,23.842000
241,26109,15.774000
241,26103,15.732000
242,26104,13.438000
242,26109,8.979000
242,26103,9.664000
243,243,5.000000
243,4030,4.714000
243,247,4.935000
244,243,11.000000
244,247,19.250000
244,4030,19.250000
245,26104,23.453000
245,26109,15.000000
245,243,24.570000
246,243,15.000000
246,247,23.250000
246,4030,23.250000
247,26109,2.583000
247,243,4.935000
247,247,5.000000
248,26109,10.278000
248,26103,6.392000
248,26104,11.250000
249,26109,18.000000
249,243,21.876000
249,26104,26.670000
250,26104,7.703000
250,26109,3.989000
250,26101,10.958000
251,243,16.284000
251,26109,23.000000
251,247,29.705000
2933,89,32.669000
2933,53,31.115000
2933,90,35.071000
2938,53,29.055000
2938,89,30.508000
2938,90,32.918000
4021,4045,6.400000
4021,4030,8.853000
4021,4048,9.968000
4022,4045,35.379000
4022,243,33.153000
4022,4030,37.543000
4023,247,18.241000
4023,243,8.000000
4023,26109,19.307000
4024,4030,22.831000
4024,243,28.018000
4024,4045,29.249000
4026,4045,12.096000
4026,91,13.754000
4026,4034,15.447000
4027,4030,16.555000
4027,4045,22.843000
4027,243,24.882000
4028,4045,17.760000
4028,4034,23.016000
4028,91,27.368000
4029,4045,22.389000
4029,4034,24.611000
4029,4030,24.853000
4030,4030,4.000000
4030,243,4.714000
4030,4045,6.068000
4031,243,33.604000
4031,4030,39.045000
4031,4045,41.602000
4033,243,10.821000
4033,4030,6.066000
4033,247,17.072000
4034,4045,5.617000
4034,4034,5.880000
4034,4030,7.257000
4035,4045,26.445000
4035,4030,20.805000
4035,243,27.893000
4036,4045,14.764000
4036,91,8.359000
4036,4034,18.425000
4037,4045,28.297000
4037,4030,27.531000
4037,4034,31.183000
4038,4045,17.843000
4038,4034,21.095000
4038,243,24.554000
4039,4045,31.420000
4039,4030,32.141000
4039,243,33.841000
4040,4030,4.752000
4040,4034,10.879000
4040,243,14.333000
4041,4030,29.744000
4041,243,34.843000
4041,247,40.790000
4042,4045,9.534000
4042,4030,12.710000
4042,4034,12.989000
4043,91,6.381000
4043,4045,17.089000
4043,4034,22.100000
4044,4045,21.915000
4044,4030,25.296000
4044,4034,26.771000
4045,4045,5.180000
4045,4034,5.617000
4045,4030,6.068000
4046,243,24.903000
4046,4030,18.250000
4046,247,29.250000
4048,83,7.000000
4048,94,2.500000
4048,4048,2.000000
4061,26103,19.711000
4061,26109,19.742000
4061,26104,27.860000
4062,243,13.493000
4062,4030,22.000000
4062,247,22.387000
4066,243,31.166000
4066,4030,40.130000
4066,26102,42.576000
4067,4030,29.415000
4067,243,35.066000
4067,247,40.651000
4072,243,32.141000
4072,4030,24.315000
4072,247,36.460000
4074,26102,33.407000
4074,26109,28.784000
4074,26103,28.543000
4075,243,10.990000
4075,4030,19.500000
4075,247,19.500000
4077,243,23.795000
4077,4030,17.818000
4077,247,28.816000
4081,26102,30.717000
4081,243,27.000000
4081,4030,37.547000
4083,243,19.490000
4083,4030,28.000000
4083,247,28.000000
4084,26109,29.265000
4084,26104,33.063000
4084,26103,33.947000
4093,4030,40.347000
4093,4045,38.873000
4093,4034,43.561000
4107,4045,34.016000
4107,4034,38.998000
4107,4030,39.252000
4123,4045,27.256000
4123,4034,31.596000
4123,4030,32.244000
4301,4045,72.819000
4301,91,75.392000
4301,53,75.487000
4302,4045,71.662000
4302,53,72.342000
4302,91,72.981000
4305,91,12.865000
4305,99,23.405000
4305,101,26.394000
4306,91,22.297000
4306,99,36.974000
4306,101,40.076000
4308,53,17.643000
4308,89,24.988000
4308,91,26.302000
4312,91,7.749000
4312,99,18.272000
4312,101,21.261000
4314,89,32.135000
4314,53,22.570000
4314,90,34.550000
4315,53,24.320000
4315,89,33.873000
4315,92,36.300000
4317,91,17.203000
4317,53,20.655000
4317,99,28.625000
4318,91,4.000000
4318,99,16.072000
4318,101,19.070000
4319,99,20.528000
4319,91,9.035000
4319,101,23.528000
4321,4045,31.400000
4321,91,15.504000
4321,99,33.204000
4322,91,11.552000
4322,99,23.012000
4322,101,29.136000
4571,23002,10.286000
4571,229,5.648000
4571,23001,13.205000
4601,221,27.441000
4601,23001,33.542000
4601,23002,42.744000
23001,23001,5.000000
23001,23004,2.800000
23001,23002,3.701000
23002,23003,2.558000
23002,219,4.300000
23002,23001,3.701000
23003,23002,2.558000
23003,23003,5.000000
23003,23001,6.297000
23004,23001,2.800000
23004,224,3.350000
23004,23004,5.000000
26101,26108,1.000000
26101,26104,2.286000
26101,26110,3.902000
26102,135,2.500000
26102,26103,3.257000
26102,26102,5.000000
26103,26109,3.000000
26103,26102,3.257000
26103,26104,3.143000
26104,26101,2.286000
26104,26109,2.690000
26104,26103,3.143000
26105,26101,2.558000
26105,26109,2.691000
26105,26104,3.000000
26106,26110,3.000000
26106,26111,2.485000
26106,26101,3.902000
26107,26101,3.000000
26107,26108,1.000000
26107,191,4.116000
26108,191,5.115000
26108,161,2.681000
26108,26101,1.000000
26109,26104,2.690000
26109,247,2.583000
26109,26103,3.000000
26110,26111,2.485000
26110,26110,5.000000
26110,26101,3.902000
26111,26110,2.485000
26111,66,2.557000
26111,69,2.622000
26112,26112,5.000000
26112,191,8.000000
26112,26111,11.000000
1,26102,45.479000
1,135,58.847000
2,26102,30.835000
2,26102,30.835000
3,26102,22.250000
3,26102,22.250000
5,26102,30.626000
5,26102,30.626000
13,26102,34.535000
13,26102,34.535000
14,26102,29.037000
14,26102,29.037000
21,221,23.950000
21,227,19.984000
23,56,64.867000
23,53,56.796000
24,224,47.678000
24,56,61.467000
26,221,12.746000
26,224,41.498000
28,56,57.644000
28,53,47.834000
30,221,6.961000
30,227,24.984000
31,221,6.083000
31,227,38.684000
32,221,10.157000
32,227,43.202000
33,221,18.100000
33,227,33.000000
37,221,33.456000
37,227,13.950000
39,227,10.968000
39,221,36.078000
43,221,15.010000
43,224,44.276000
51,53,4.854000
51,89,15.937000
52,52,3.000000
52,54,13.605000
