# fromZone, toZone, priority, desired dep time, group_size
2,156,1.000000,2005-05-10T08:00,1
2,161,1.000000,2005-05-10T06:10,1
2,161,1.000000,2005-05-10T06:50,1
2,178,1.000000,2005-05-10T06:40,1
2,191,1.000000,2005-05-10T06:10,2
2,191,1.000000,2005-05-10T06:20,2
2,191,1.000000,2005-05-10T06:30,2
2,191,1.000000,2005-05-10T06:50,2
2,191,1.000000,2005-05-10T07:00,1
2,191,1.000000,2005-05-10T07:10,1
2,191,1.000000,2005-05-10T07:20,2
2,191,1.000000,2005-05-10T07:40,1
2,191,1.000000,2005-05-10T07:50,1
2,192,1.000000,2005-05-10T06:40,1
2,192,1.000000,2005-05-10T06:50,1
2,194,1.000000,2005-05-10T06:50,1
2,195,1.000000,2005-05-10T06:30,1
2,195,1.000000,2005-05-10T07:50,1
2,197,1.000000,2005-05-10T06:10,1
2,197,1.000000,2005-05-10T06:50,1
2,197,1.000000,2005-05-10T07:00,1
2,198,1.000000,2005-05-10T06:20,3
2,198,1.000000,2005-05-10T06:30,2
2,198,1.000000,2005-05-10T07:00,3
2,199,1.000000,2005-05-10T06:20,1
2,199,1.000000,2005-05-10T06:30,1
2,199,1.000000,2005-05-10T07:50,1
2,200,1.000000,2005-05-10T08:00,1
2,227,1.000000,2005-05-10T06:20,1
2,241,1.000000,2005-05-10T07:10,1
2,242,1.000000,2005-05-10T06:10,1
2,242,1.000000,2005-05-10T06:20,1
2,242,1.000000,2005-05-10T06:40,1
2,242,1.000000,2005-05-10T06:50,2
2,242,1.000000,2005-05-10T07:10,2
2,243,1.000000,2005-05-10T06:20,1
2,243,1.000000,2005-05-10T06:50,1
2,243,1.000000,2005-05-10T07:30,1
2,243,1.000000,2005-05-10T07:50,3
2,244,1.000000,2005-05-10T07:20,1
2,244,1.000000,2005-05-10T07:30,1
2,245,1.000000,2005-05-10T07:00,1
2,246,1.000000,2005-05-10T07:10,1
2,247,1.000000,2005-05-10T06:10,1
2,247,1.000000,2005-05-10T06:40,1
2,247,1.000000,2005-05-10T07:20,1
2,247,1.000000,2005-05-10T07:30,1
2,247,1.000000,2005-05-10T07:40,1
2,247,1.000000,2005-05-10T07:50,1
2,248,1.000000,2005-05-10T06:20,1
2,250,1.000000,2005-05-10T06:10,2
2,250,1.000000,2005-05-10T06:30,2
2,250,1.000000,2005-05-10T06:50,1
2,250,1.000000,2005-05-10T07:00,2
2,250,1.000000,2005-05-10T07:20,3
2,250,1.000000,2005-05-10T07:30,2
2,250,1.000000,2005-05-10T07:40,1
2,251,1.000000,2005-05-10T06:40,1
2,4021,1.000000,2005-05-10T06:20,3
2,4021,1.000000,2005-05-10T07:40,1
2,4023,1.000000,2005-05-10T07:00,1
2,4026,1.000000,2005-05-10T06:30,1
2,4029,1.000000,2005-05-10T06:30,1
2,4030,1.000000,2005-05-10T06:20,1
2,4030,1.000000,2005-05-10T07:40,1
2,4037,1.000000,2005-05-10T07:10,1
2,4040,1.000000,2005-05-10T06:20,1
2,4040,1.000000,2005-05-10T06:40,1
2,4042,1.000000,2005-05-10T07:40,1
2,4044,1.000000,2005-05-10T07:00,1
2,4045,1.000000,2005-05-10T06:10,1
2,4045,1.000000,2005-05-10T06:30,1
2,4045,1.000000,2005-05-10T06:50,1
2,4045,1.000000,2005-05-10T07:10,2
2,4045,1.000000,2005-05-10T07:50,1
2,4061,1.000000,2005-05-10T06:40,1
2,4061,1.000000,2005-05-10T07:40,1
2,4062,1.000000,2005-05-10T06:30,2
2,4062,1.000000,2005-05-10T07:20,1
2,4062,1.000000,2005-05-10T07:40,1
2,4074,1.000000,2005-05-10T06:40,1
2,4075,1.000000,2005-05-10T07:20,1
2,4081,1.000000,2005-05-10T06:30,1
2,4308,1.000000,2005-05-10T06:10,1
2,23001,1.000000,2005-05-10T06:20,1
2,23001,1.000000,2005-05-10T06:40,1
2,23001,1.000000,2005-05-10T06:50,1
2,23001,1.000000,2005-05-10T07:20,1
2,23001,1.000000,2005-05-10T07:40,1
2,23003,1.000000,2005-05-10T07:00,1
2,23003,1.000000,2005-05-10T07:20,1
2,23004,1.000000,2005-05-10T06:50,1
2,23004,1.000000,2005-05-10T07:50,1
2,26101,1.000000,2005-05-10T06:10,2
2,26101,1.000000,2005-05-10T06:20,1
2,26101,1.000000,2005-05-10T06:30,3
2,26101,1.000000,2005-05-10T06:40,5
2,26101,1.000000,2005-05-10T06:50,3
2,26101,1.000000,2005-05-10T07:00,1
2,26101,1.000000,2005-05-10T07:10,5
2,26101,1.000000,2005-05-10T07:20,5
2,26101,1.000000,2005-05-10T07:30,4
2,26101,1.000000,2005-05-10T07:40,2
2,26101,1.000000,2005-05-10T07:50,4
2,26101,1.000000,2005-05-10T08:00,3
2,26102,1.000000,2005-05-10T06:10,1
2,26102,1.000000,2005-05-10T06:20,2
2,26102,1.000000,2005-05-10T06:30,1
2,26102,1.000000,2005-05-10T06:40,3
2,26102,1.000000,2005-05-10T06:50,1
2,26102,1.000000,2005-05-10T07:00,5
2,26102,1.000000,2005-05-10T07:10,3
2,26102,1.000000,2005-05-10T07:20,5
2,26102,1.000000,2005-05-10T07:30,2
2,26102,1.000000,2005-05-10T07:40,5
2,26102,1.000000,2005-05-10T07:50,4
2,26102,1.000000,2005-05-10T08:00,5
2,26103,1.000000,2005-05-10T06:10,2
2,26103,1.000000,2005-05-10T06:20,3
2,26103,1.000000,2005-05-10T06:30,2
2,26103,1.000000,2005-05-10T06:40,1
2,26103,1.000000,2005-05-10T06:50,4
2,26103,1.000000,2005-05-10T07:00,1
2,26103,1.000000,2005-05-10T07:10,2
2,26103,1.000000,2005-05-10T07:20,1
2,26103,1.000000,2005-05-10T07:30,3
2,26103,1.000000,2005-05-10T07:40,4
2,26103,1.000000,2005-05-10T07:50,2
2,26103,1.000000,2005-05-10T08:00,2
2,26104,1.000000,2005-05-10T06:10,3
2,26104,1.000000,2005-05-10T06:20,2
2,26104,1.000000,2005-05-10T06:30,1
2,26104,1.000000,2005-05-10T06:50,1
2,26104,1.000000,2005-05-10T07:00,1
2,26104,1.000000,2005-05-10T07:10,2
2,26104,1.000000,2005-05-10T07:20,1
2,26104,1.000000,2005-05-10T07:30,2
2,26104,1.000000,2005-05-10T07:40,4
2,26104,1.000000,2005-05-10T07:50,2
2,26105,1.000000,2005-05-10T06:10,1
2,26105,1.000000,2005-05-10T06:40,1
2,26105,1.000000,2005-05-10T06:50,2
2,26105,1.000000,2005-05-10T07:00,1
2,26105,1.000000,2005-05-10T07:10,3
2,26105,1.000000,2005-05-10T07:20,1
2,26105,1.000000,2005-05-10T07:30,2
2,26105,1.000000,2005-05-10T07:40,6
2,26105,1.000000,2005-05-10T07:50,2
2,26105,1.000000,2005-05-10T08:00,5
2,26106,1.000000,2005-05-10T06:10,1
2,26106,1.000000,2005-05-10T06:40,1
2,26106,1.000000,2005-05-10T07:10,1
2,26106,1.000000,2005-05-10T07:20,2
2,26106,1.000000,2005-05-10T07:40,1
2,26107,1.000000,2005-05-10T06:10,1
